Kalimat,Formalitas
gw yg gk liat lu bawa kunci,0
saya yang tidak melihat kamu membawa kunci,1
jd kita terus aja ulnya d lanjutin gaada review bab lg,0
jadi kami meneruskan ulangannya tanpa peninjauan ulang lagi,1
gila ya bab ini si banyak luh,0
gila bab ini banyak sekali,1
tapi entah kenapa gua fine ja,0
tapi entah kenapa saya baik baik saja,1
masuk akal semua jadi cepat diterima otak,0
semuanya masuk akal sehingga cepat dimengerti,1
awalnya gua takut banget wkwkwk,0
awalnya saya takut sekali hahaha,1
ga kyk si bab awal itu,0
tidak seperti bab pertama,1
ngurus kenapa biji gua nolak jadi taoge aja bisa seharian,0
mengurus biji tanamanku yang tidak mau tumbuh menjadi taoge saja habis seharian,1
yang ada berjenis jenis itu jason,0
yang ada banyak jenisnya itu jason,1
jujur menurut gua materi genetik sdkt susah,0
sejujurnya menurut saya materi genetik sedikit sulit,1
oiya laporan lu brp kertas,0
oh ya laporan kamu menghabiskan berapa kertas,1
apa aja jir yg bikin panjang,0
apa saja yang membuatnya panjang,1
analisis sama kesimpulan kali ini gw hrs ganti format,0
untuk analisis dan kesimpulan kali ini saya harus mengganti formatnya,1
gw ga paham,0
saya tidak paham,1
jd kl nilai kita jebol guru ada stok buat nambel nilai,0
sehingga jika nilai kami menurun guru memiliki cadangan untuk memperbaiki nilai,1
angkatan kita seakan angkatan baik terakhir,0
angkatan kita sepertinya angkatan baik terakhir,1
gua liat anak kls kelabakan,0
saya melihat anak anak di kelas kerepotan,1
gabisa jawab harus ngulang lagi maju nya next time,0
jika tidak mampu menjawab maka harus mengulang kembali lain kali,1
pdhl kl digeber ga semua bisa,0
padahal walaupun dilakukan dengan intensif belum tentu semuanya mampu,1
cuma yg ulet doang yg bisa,0
hanya yang rajin yang mampu,1
sampe gw gk nangkep lu ngomong apa,0
sampai saya tidak memahami apa yang kamu katakan,1
lb tepatnya kls gw blm disitu,0
lebih tepatnya kelas saya belum di sana,1
jujur gw main logika doang disini,0
sejujurnya saya hanya menggunakan logika disini,1
brrt bener ya kamus gw,0
berarti kamu saya benar,1
emg gw baca kamus lu,0
memangnya saya membaca kamusmu,1
kalian pinjem buku apa tanpa seijin gua,0
buku apa yang kalian pinjam tanpa seizin saya,1
catetan ga match sama punya temen,0
catatan tidak cocok dengan milik teman,1
jangan pura ga berdosa klian,0
kalian jangan berpura pura tidak berdosa,1
ngaku ga fotocopy catatan apa,0
akuilah catatan apa yang difotokopi,1
gw pinjem buku catetan lu aja kaga jir,0
saya bahkan tidak meminjam catatan kamu,1
lu oknum yg mengambil buku gua,0
kamu oknum yang mengambil buku saya,1
maaf saya memveto pendapat anda,0
maaf saya menolak pendapat anda,1
karena gw tidak merasa gw melakukan itu,0
karena saya tidak merasa melakukan hal tersebut,1
kalo kalian itu pnjm cttn gua lalu d fc lalu d balikin tnpa sepengetahuan gua,0
bahwa kalian meminjam catatan saya lalu difotokopi lalu dikembalikan tanpa sepengetahuan saya,1
ho sptnya narasumber lu menyesatkan,0
sepertinya narasumbermu menyesatkan,1
karena gua atau derry ga perna nekat bongkar tas lu,0
karena saya atau derry tidak pernah nekat membongkar tasmu,1
jangan hancurkan kepercayaan gua ni,0
jangan hancurkan kepercayaan saya ini,1
yauda kalo pernyataan itu memang tidak benar,0
ya sudah jika pernyataan tersebut memang tidak benar,1
tp gw mau usut ini sampe akarnya,0
tapi saya mau mengusut ini hingga akarnya,1
lagipula tas w gaada uang kas lagi,0
lagipula tas saya sudah tidak menyimpan uang kas lagi,1
krn saya gedek thd konspirasi fitnah,0
karena saya sangat tidak suka terhadap konspirasi fitnah,1
cb apa yg dikatakan narasumber lu,0
coba katakan apa yang diberitahukan narasumbermu,1
jadi derry mengalihkan perhatian gua,0
jadi derry mengalihkan perhatian saya,1
lu ambl catatan gua ,0
kamu mengambil catatan saya,1
lu fc dibawah,0
kamu fotokopi dibawah,1
lu naik lagi balikin catatan gua,0
kamu naik lagi mengembalikan catatan saya,1
derry mengalihkan gua lg,0
derry mengalihkan saya lagi,1
lu tau it cat apa ga,0
apakah kamu tahu catatan apa itu,1
hotspot fc catetan biasanya bio,0
catatan yang sering difotokopi biasanya biologi,1
gua dialihin perhatian sm derry,0
perhatian saya dialihkan oleh derry,1
justru w mau nanya kebenarannya,0
justru saya mau menanyakan kebenarannya,1
kata narasumber gua,0
menurut narasumber saya,1
michelle gabakal kasi pnjm cttn ini,0
michelle tidak akan meminjamkan catatan ini,1
dan gua berfkir keras cat apa yg bkin kalian sekreatif itu,0
dan saya berpikir keras catatan apa yang membuat kalian sekreatif itu,1
oh yauda kalo ga perbuat mah,0
ya sudah jika tidak melakukan,1
mari kita gunakan fakta gua benci baca catetan,0
mari kita gabungkan fakta bahwa saya benci membaca catatan,1
kl mau fc harus nunggu,0
jika ingin fotokopi maka harus menunggu,1
lu tau catetan lu tebel,0
kamu tahu catatanmu tebal,1
dan mnrt narasumber lu gw yg ambil dan turun fc terus naik lagi,0
dan menurut narasumbermu saya orang yang mengambil dan turun memfotokopi lalu naik lagi,1
menurut lu itu berapa lama jir,0
menurutmu hal itu memerlukan berapa lama,1
iya awalnya ga masuk akal juga,0
ya awalnya hal itu juga tidak masuk akal,1
kl begitu gw hrs pasang mata pasang telinga di kls lu mulai skrg,0
jika demikian saya harus pasang mata pasang telinga di kelasmu mulai sekarang,1
w jg mkir gamgkn cttn gua d fc dlm wktu singkat,0
saya juga berpikir tidak mungkin catatan saya difotokopi dalam waktu singkat,1
jd senin sidang maksud lu ini,0
jadi ini yang kamu maksud dengan senin sidang,1
gw sibuk kayany senen jd gua sidang lu dadakan,0
saya sepertinya akan sibuk saat senin jadi saya sidang kamu mendadak,1
tp karena lu mikir dan ga dapet ide catetan apa yg raib lu nanya sekarang,0
tapi karena kamu berpikir dan tidak dapat menentukan catatan apa yang hilang kamu bertanya sekarang,1
kwkw begitu lain kali michelle kl ada yg mencurigakan menyangkut kita monggo wae tanya frontal,0
haha kalau begitu lain kali michelle jika ada yang mencurigakan menyangkut kami silakan tanya langsung,1
gw denger dr narasumber jumat,0
saya mendengar dari narasumber pada hari jumat,1
ha jd mnrt dia kami melakukan itu hari jumat,0
jadi menurut dia kami melakukan hal itu hari jumat,1
klian melakukan itu bbrp waktu lalu,0
kalian melakukan hal itu beberapa waktu lalu,1
tp dy g blg kapan,0
tapi dia tidak mengatakan kapan,1
kl dr bahasanya brrt kisaran minggu ini,0
jika dinilai dari bahasanya berarti sekitar minggu ini,1
dia blg iya jason sndr yg blg,0
dia bilang iya jason sendiri yang bilang,1
coba aja lu tny mrk ,0
tanyakan saja pada mereka,1
kan mrk tmn lu jga,0
bukankah mereka temanmu juga,1
kalimat itu yg bkin gua mkir bahwa itu bnrn trjd,0
kalimat itulah yang membuat saya berpikir bahwa hal itu sungguh terjadi,1
makanya gua mengesampingkan fakta yg gw punya,0
sehingga saya mengesampingkan fakta yang saya miliki,1
kl dia jujur brrt dia pernah ngomong ama gw,0
jika dia jujur berarti dia pernah berbicara dengan saya,1
kok lucu ya ini semua wkwkwkwk,0
lucu sekali semua ini hahahaha,1
tp di kls lu gw cuma nyari nicholas tempo hari,0
tapi di kelas kamu saya hanya mencari nicholas setiap hari,1
percayalah sm w kalo lu usut ini akan jd ribet,0
percayalah pada saya jika kamu mengusut hal ini akan menjadi rumit,1
jd jgn ngegas dn jgn membantah gua kali ini,0
jadi jangan terburu buru dan jangan membantah saya kali ini,1
akhirnya anda merasakan penderitaan kls kami,0
akhirnya anda merasakan penderitaan kelas kami,1
kan kalo ga d balikin blm tw nnt snen d balikin ga,0
karena jika tidak dikembalikan saya tidak tahu senin akan dikembalikan atau tidak,1
soalny dia cek latihan gitu,0
karena dia mengecek latihan,1
keknya ga bakal balik kl mepet,0
sepertinya tidak akan kembali jika tidak sempat,1
untung sblm w kmpul udh gua foto,0
untung sebelum saya kumpulkan sudah saya foto,1
hrsnya dia yg dpt nick anak kimia,0
harusnya dia yang mendapatkan panggilan anak kimia,1
tp ad bbrp soal gw tls di bku cttn dan itu ga gw foto hm,0
tapi ada beberapa soal saya tulis di buku catatan dan tidak saya foto,1
gua hr ni ga ke gereja tu,0
saya hari ini tidak ke gereja,1
pokony relasi yg dkt sm gua kalo nilainya ga meningkat mah bohong,0
intinya orang orang yang dekat dengan saya tidak mungkin jika nilainya tidak meningkat,1
zaman gw msh bisa kimia,0
masa saya masih bisa kimia,1
tp bu sugi pro,0
tapi ibu sugi ahli,1
hbs itu ditegor dulu sekelas baru dirayain,0
setelah itu satu kelas ditegur terlebih dahulu baru dirayakan
