Kalimat,Formalitas
lagipula apa yg penting disini,0.0
lagipula penting apa sini,1.0
intinya wangsit bagian gw yg paling tinggi bayarannya,0.0
intinya buku wangsit jumlah aku bayar berjumlah paling tinggi,1.0
ah kau kimia mat komsel,0.0
Ah kamu kimia matematika sedang komsel,1.0
yg diionisasi cuma aq kan,0.0
terionisasi fase larutan,1.0
michelle punya temen saling lempar tugas enak gk,0.0
michelle memiliki teman saling melempar tugas enak,1.0
lu tinggal ksh tau mana aja yg lu kerjain jason,0.0
kamu tinggal memberi tahu bagian mana kamu kerjakan jason,1.0
nomor mgmp keluar yg kl gslh,0.0
nomor MGMP keluar kalau salah,1.0
jelasin scr singkat fpi sm dayak d kalimantan ad ap,0.0
jelaskan singkat apa FPI suku dayak kalimantan,1.0
jd kl org fpi dateng dirusuhin,0.0
jadi orang FPI datang dihalangi,1.0
kan mrk msh kepercayaannya native bgt msh kuat sama budaya asli ,0.0
Karena menganut agama kepercayaan kuat sekali berpegang budaya asli,1.0
kl lu tanya agama apa jawabnya ga jauh dr agama asli dayak lupa apa namanya tp msh byk yg anut,0.0
kamu bertanya apa agama jawabannya jauh agama asli Dayak lupa apa namanya penganutnya banyak,1.0
blok barat blok timur beda ideologi y,0.0
blok barat blok timur memiliki ideologi berbeda,1.0
iy tp ga perang frontal,0.0
iya berperang frontal,1.0
negara komunis kan tinggal tiga dunia,0.0
tersisa tiga negara komunis dunia,1.0
jd ud gk kepake ideologi komunis,0.0
jadi ideologi komunis terpakai,1.0
aneh y gw nanya gnian,0.0
aneh bertanya,1.0
smpe skrg msh gertakan ga,0.0
sekarang saling menggertak,1.0
gertaknya via teknologi nuklir dominasi pasar saham dunia,0.0
gertakannya dilakukan melalui teknologi nuklir dominasi pasar saham dunia,1.0
timur sama barat kl mau tau mana belah atlas lu turki,0.0
kamu mau mengetahui blok timur barat atlas milikmu dimulai turki,1.0
kekanan blok timur kekiri blok barat,0.0
sebelah kanan blok timur sebelah kiri blok barat,1.0
gua dikuliahin piramida ekologi mau mati cuk,0.0
dikuliahi piramida ekologi meninggal,1.0
warna cmyk d mata rgb gmn,0.0
bagaimana warna CMYK mata RGB,1.0
warna cmyk mata rgb abu putih,0.0
warna CMYK mata RGB abu-abu menuju putih,1.0
kt nico kls u pm bio ud skl,0.0
nico kelasmu PM biologi satu kali,1.0
bsk gw rmh lu,0.0
besok rumahmu,1.0
gw gk bs reaksi basa,0.0
reaksi basa,1.0
maju jd tumbal papan tulis,0.0
maju menjadi tumbal papan tulis,1.0
kls gw wkt br msk sel volta,0.0
kelas waktu baru sel volta,1.0
lelah menjadi alasan yg kuno jason,0.0
Kelelahan menjadi alasan kuno jason,1.0
kan tampang lu selalu lelah,0.0
tampang selalu lelah,1.0
gua mau tidur layak puas terganggu,0.0
mau tidur layak puas terganggu,1.0
yaudah tidur aja skrg,0.0
tidurlah sekarang,1.0
sabar lg tulis artikel medis,0.0
sabarlah sedang menulis artikel medis,1.0
kl bs gw jg mau tidur,0.0
mau tidur,1.0
nulis biar apa buat siapa,0.0
menulis apa siapa,1.0
mamah sugi,0.0
ibu sugi,1.0
kwkwkw bantu sebisa lu lah,0.0
hahaha bantu sebisamu,1.0
jadwal mepet bgt makanya gw jg ga enak minta tagih nilai ul ga bikin tugas,0.0
jadwalnya sangat sempit enak menagih nilai ulangan membuat tugas,1.0
jd hr doi ga masuk,0.0
hari masuk,1.0
tpi seneng klo remed,0.0
senang remedial,1.0
katanya mau nanya michelle apa,0.0
apa mau kamu tanyakan michelle,1.0
buku tulis ditilep lgi,0.0
buku tulis dicuri,1.0
dlm prakteknya dipake buat apa,0.0
prakteknya apa digunakan,1.0
yg biasa yg kt pake,0.0
biasa pakai,1.0
jgn bilang latihan redoks dr buku bailmu,0.0
jangan bilang latihan redoks buku bailmu,1.0
byk soal salah gue,0.0
banyak soal salah,1.0
ga selesai jawabnya jir,0.0
