Kalimat,Formalitas
lagipula ada apa yg penting disini,0
lagipula hal penting apa yang ada di sini,1
intinya dari wangsit itu bagian gw yg paling tinggi bayarannya,0
intinya adalah dari buku wangsit itu jumlah yang aku bayar berjumlah paling tinggi,1
ah kau kimia saya mat dan saya lagi komsel,0
Ah kamu kimia saya matematika dan saya sedang komsel,1
yg bisa diionisasi cuma aq kan,0
apakah yang bisa terionisasi hanya fase larutan,1
michelle punya temen saling lempar tugas enak gk,0
michelle apakah memiliki teman yang saling melempar tugas itu enak,1
lu tinggal ksh tau mana aja yg lu kerjain jason,0
kamu hanya tinggal memberi tahu bagian mana saja yang kamu kerjakan jason,1
nomor mgmp keluar yg kl gslh,0
nomor MGMP keluar ya kalau tidak salah,1
jelasin scr singkat fpi sm dayak d kalimantan ad ap,0
jelaskan secara singkat ada apa antara FPI dengan suku dayak di kalimantan,1
jd kl ada org fpi dateng ya dirusuhin,0
jadi jika ada orang FPI yang datang maka akan dihalangi,1
kan mrk msh kepercayaannya native bgt msh kuat sama budaya asli ,0
Karena mereka masih menganut agama kepercayaan dan masih kuat sekali berpegang pada budaya asli,1
kl lu tanya mereka agama apa pasti jawabnya ga jauh dr agama asli dayak lupa apa namanya tp msh byk yg anut,0
jika kamu bertanya apa agama mereka pasti jawabannya tidak jauh dari agama asli Dayak saya lupa apa namanya tapi penganutnya masih banyak,1
blok barat blok timur beda ideologi y,0
blok barat dan blok timur memiliki ideologi yang berbeda ya,1
iy tp ga perang frontal,0
iya tapi tidak berperang secara frontal,1
negara komunis kan tinggal tiga di dunia,0
hanya tersisa tiga negara komunis di dunia,1
jd ud gk kepake ideologi komunis,0
jadi ideologi komunis sudah tidak terpakai,1
aneh y gw nanya gnian,0
apakah aneh saya bertanya seperti ini,1
smpe skrg msh gertakan ga,0
apakah sampai sekarang masih saling menggertak,1
gertaknya ya via teknologi nuklir dan dominasi pasar dan saham dunia,0
gertakannya dilakukan melalui teknologi nuklir serta dominasi pasar dan saham dunia,1
timur sama barat kl mau tau mana belah dua atlas lu dari turki,0
jika kamu mau mengetahui dimana blok timur dan barat bagi dua atlas milikmu dimulai dari turki,1
kekanan itu blok timur kekiri blok barat,0
di sebelah kanan adalah blok timur sedangkan di sebelah kiri adalah blok barat,1
gua dikuliahin piramida ekologi mau mati cuk,0
saya dikuliahi piramida ekologi ingin meninggal,1
warna cmyk d mata rgb gmn,0
bagaimana warna CMYK di mata RGB,1
warna cmyk di mata rgb abu ke putih,0
warna CMYK di mata RGB adalah abu-abu menuju putih,1
kt nico kls u pm bio ud skl,0
menurut nico kelasmu PM biologi sudah satu kali,1
bsk gw ke rmh lu ya,0
besok saya ke rumahmu ya,1
gw gk bs reaksi basa,0
saya tidak bisa reaksi basa,1
maju jd tumbal papan tulis,0
maju menjadi tumbal papan tulis,1
kls gw wkt itu br msk sel volta,0
kelas saya waktu itu baru sampai sel volta,1
anda lelah sudah menjadi alasan yg kuno jason,0
Kelelahan anda sudah menjadi alasan yang kuno jason,1
kan tampang lu selalu lelah,0
karena tampang anda selalu lelah,1
gua mau tidur dengan layak dan puas dan tidak terganggu,0
saya mau tidur dengan layak puas dan tidak terganggu,1
yaudah tidur aja dari skrg,0
ya sudah tidurlah dari sekarang,1
sabar lg tulis artikel medis,0
sabarlah saya sedang menulis artikel medis,1
kl bs gw jg mau tidur,0
jika bisa saya juga mau tidur,1
nulis biar apa dan buat siapa,0
menulis supaya apa dan untuk siapa,1
demi mamah sugi,0
demi ibu sugi,1
kwkwkw bantu sebisa lu lah,0
hahaha bantu sebisamu saja,1
jadwal mepet bgt dia makanya gw jg ga enak minta tagih nilai ul apalagi ga bikin tugas,0
jadwalnya sangat sempit sehingga saya juga tidak enak menagih nilai ulangan apalagi tidak membuat tugas,1
jd hr ini doi ga masuk,0
maka hari ini dia tidak masuk,1
tpi dia juga seneng klo kita remed,0
tapi dia juga senang jika kita remedial,1
katanya mau nanya michelle apa,0
apa yang mau kamu tanyakan kepada michelle,1
buku tulis kami ditilep lgi,0
buku tulis kami dicuri lagi,1
itu dlm prakteknya dipake buat apa,0
dalam prakteknya untuk apa itu digunakan,1
yg biasa yg kt pake,0
yang biasa kita pakai,1
jgn bilang latihan redoks dr buku bailmu,0
jangan bilang latihan redoks dari buku bailmu,1
byk soal salah menurut gue,0
menurut saya banyak soal yang salah,1
dia ga selesai jawabnya jir,0
dia tidak selesai menjawabnya,1
klo mw minta jwbn gw ada sebagian ad bbrp kasus gua ga ngerti dan ga dikasi nanya lg sm busugi,0
jika mau meminta jawaban saya ada sebagian ada beberapa kasus saya tidak mengerti dan tidak diberi kesempatan bertanya lagi oleh ibu sugi,1
nnt malem mungkin hamba mintanya,0
saya mungkin meminta nanti malam,1
michelle mau cocokin jawaban sebelum gw ketiduran,0
michelle mau mencocokkan jawaban sebelum saya tertidur,1
 mata gw udah di perbatasan,0
mata saya sudah di ambang batas,1
jgn terlalu pede sm jawabanmu nak,0
jangan terlalu percaya diri dengan jawabanmu nak,1
hehehe nasihat dr org yg meragukan segalanya,0
hahaha nasihat dari orang yang meragukan segalanya,1
oke michelle gw congkel mata lu ya,0
oke michelle saya congkel matamu ya,1
masa transisi itu masa kekuasaan dipindahin,0
masa transisi merupakan masa perpindahan kekuasaan,1
tuh kan firasat gw bener,0
nah firasatku benar,1
pasti ada aja yg salah,0
pasti ada yang salah,1
ada ulangan ada praktek ada remed,0
ada ulangan praktek dan remedial,1
sementara syarat remed blm di kerjakan,0
sementara syarat remedial belum dikerjakan,1
michelle bawa ulangan fisika yg pertama dong,0
michelle tolong bawa ulangan fisika yang pertama,1
kerjakan soal ulangan dgn benar,0
kerjakanlah soal ulangan dengan benar,1
kertas ul nya di kumpul,0
kertas ulangan tersebut dikumpulkan,1
smpe skrg ga balik lg,0
sampai sekarang belum kembali lagi,1
apa udh balik tp gw lupa,0
mungkin sudah kembali tetapi saya lupa,1
udhlah bsk gw terjun dari lantai dua,0
ya sudah besok saya terjun dari lantai dua,1
yg masuk ui arwah gw aja,0
yang masuk UI cukup arwah saya saja,1
yg msk kuliah badan gw aja,0
yang masuk kuliah cukup tubuh saya saja,1
arwah nunggu di pintu surga,0
arwah saya menunggu di pintu surga,1
heh jgn dl tgs kalian blm slsai di dunia,0
jangan dulu karena tugas kalian belum selesai di dunia,1
jujur gua sendiri gapaham sm pertanyaannya,0
sejujurnya saya sendiri tidak paham dengan pertanyaannya,1
eh gw ragu yg metode biloks yg mana,0
saya ragu yang mana yang merupakan metode biloks,1
trus yg satu lgi apa namanya,0
lalu apa nama satu hal lainnya,1
hal basic lupa hal ribet hapal,0
hal mendasar dia lupa sedangkan hal rumit dia ingat,1
lu pd tau kasus bayi debora ga,0
apakah kalian mengetahui kasus bayi debora,1
krn ga ada uang dp,0
karena tidak ada uang muka,1
dibiarinin aja sama staf rmh sakit,0
dibiarkan begitu saja oleh pegawai rumah sakit,1
kyk enteng bgt gt buat dia,0
seperti sangat mudah untuknya,1
cuma rs itu yg dkt rmh mrk,0
hanya rumah sakit itu yang dekat dengan rumah mereka,1
ga tahan sm pajak kertas,0
tidak tahan dengan pajak kertas,1
kita kn ad pabrik kertas,0
padahal kita memiliki pabrik kertas,1
ada tp kan kertas jg kena bea,0
ada tetapi kertas juga dikenai bea,1
berapa puluh perak per lembar,0
sekian puluh perak per lembar,1
lah kl cetakan buku sebejibun kyk buku dia,0
bagaimana kalau yang dicetak adalah buku sebanyak bukunya,1
pdhl dy ud ckup berlimpah luh,0
padahal dia sudah berkecukupan,1
apalagi novel kertas daur ulang,0
apalagi novel dari kertas daur ulang,1
mksd gw dy itu g kekurangn,0
maksud saya dia tidak berkekurangan,1
lebi mahal kan kt teknologi daur ulang ga maksimal,0
lebih mahal karena teknologi daur ulang kita tidak maksimal,1
diluar sana justru semua yg bs d recycle digalakin harus recycle,0
