Kalimat,Formalitas
Sidang Kabinet Paripurna siang hari evaluasi pelaksanaan RPJMN 2014-2019 persiapan implementasi APBN tahun depan tahun 2020,1
Sebelum mempersilakan Menteri Bappenas Menteri Keuangan menyampaikan laporan hasil evaluasi pelaksanaan persiapan APBN 2020 pertama mengucapkan terima kasih sebesar-besarnya semua Menteri semua Kepala Lembaga atas kerja kerasnya selama lima tahun membantu Bapak Jusuf Kalla menjalankan visi program-program prioritas bersama,1
Saya ingat awal pembentukan Kabinet Kerja menyampaikan visi misi menteri visi misi presiden wakil presiden semuanya betul-betul berada satu visi satu tujuan satu jalur,1
Kalau lihat alhamdulillah lima tahun banyak kerjakan berbagai keterbatasan-keterbatasan,1
Dan banyak lihat pekerjaan-pekerjaan rumah selesaikan,1
Saya melihat selama lima tahun menyusun sebuah fondasi arah pembangunan nasional lebih tangguh lebih produktif lebih merata,1
Dan melakukan reformasi bidang fiskal APBN menjadi semakin sehat semakin mandiri,1
Dan meletakkan fondasi pembangunan Indonesiasentris bukan Jawasentris melakukan percepatan pembangunan bidang infrastruktur,1
Kita memulai reformasi struktural memang besar-besaran,1
Sehingga harapkan lima tahun depan melakukan reformasi struktural besar-besaran rangka meningkatkan daya saing memangkas banyak aturan/prosedur menghambat berbelit-belit punyai,1
Juga reformasi program perlindungan sosial penanggulangan kemiskinan terutama masyarakat empat puluh persen terbawah lakukan,1
Kita melihat lima tahun penguatan bidang monitoring bidang pengendalian eksekusinya lapangan lakukan baik perencanaan implementasi eksekusi,1
Saya melihat banyak berjalan,1
Karena keandalan proses eksekusi efektivitas proses delivery menjadi penekanan perancangan RPJMN Tahun 2020-2024,1
Dan terakhir persiapan implementasi APBN tahun depan 2020 beberapa perlu menjadikan perhatian bersama 2020 merupakan tahun pertama periode pembangunan RPJMN 2020-2024 fokuskan pembangunan SDM pembangunan sumber daya manusia besar-besaran meninggalkan pembangunan infrastruktur mulai lima tahun lalu,1
Karena minta reformasi pemerataan kualitas pendidikan menjadi fondasinya disusun selama lima tahun lanjutkan,1
Dan program pelatihan kewirausahaan/enterpreneurship dimiliki masing-masing kementerian lembaga disinergikan,1
Saya rasa sampaikan kesempatan baik,1
