Kalimat,Formalitas
lagipula ada apa yg penting sini,0
lagipula hal penting apa yang ada di sini,1
inti dari wangsit itu bagi gw yg paling tinggi bayar,0
inti adalah dari buku wangsit itu jumlah yang aku bayar jumlah paling tinggi,1
ah kau kimia saya mat dan saya lagi komsel,0
ah kamu kimia saya matematika dan saya sedang komsel,1
yg bisa ionisasi cuma aq kan,0
apakah yang bisa ionisasi hanya fase larut,1
michelle punya temen saling lempar tugas enak gk,0
michelle apakah milik teman yang saling lempar tugas itu enak,1
lu tinggal ksh tau mana aja yg lu kerjain jason,0
kamu hanya tinggal beri tahu bagi mana saja yang kamu kerja jason,1
nomor mgmp keluar yg kl gslh,0
nomor mgmp keluar ya kalau tidak salah,1
jelasin scr singkat fpi sm dayak d kalimantan ad ap,0
jelas cara singkat ada apa antara fpi dengan suku dayak di kalimantan,1
jd kl ada org fpi dateng ya dirusuhin,0
jadi jika ada orang fpi yang datang maka akan halang,1
kan mrk msh percaya native bgt msh kuat sama budaya asli,0
karena mereka masih anut agama percaya dan masih kuat sekali pegang pada budaya asli,1
kl lu tanya mereka agama apa pasti jawab ga jauh dr agama asli dayak lupa apa nama tp msh byk yg anut,0
jika kamu tanya apa agama mereka pasti jawab tidak jauh dari agama asli dayak saya lupa apa nama tapi anut masih banyak,1
blok barat blok timur beda ideologi y,0
blok barat dan blok timur milik ideologi yang beda ya,1
iy tp ga perang frontal,0
iya tapi tidak perang cara frontal,1
negara komunis kan tinggal tiga di dunia,0
hanya sisa tiga negara komunis di dunia,1
jd ud gk kepake ideologi komunis,0
jadi ideologi komunis sudah tidak pakai,1
aneh y gw nanya gnian,0
apakah aneh saya tanya seperti ini,1
smpe skrg msh gertak ga,0
apakah sampai sekarang masih saling gertak,1
gertak ya via teknologi nuklir dan dominasi pasar dan saham dunia,0
gertak laku lalu teknologi nuklir serta dominasi pasar dan saham dunia,1
timur sama barat kl mau tau mana belah dua atlas lu dari turki,0
jika kamu mau tahu mana blok timur dan barat bagi dua atlas milik mulai dari turki,1
kan itu blok timur kir blok barat,0
di belah kanan adalah blok timur sedang di belah kiri adalah blok barat,1
gua dikuliahin piramida ekologi mau mati cuk,0
saya kuliah piramida ekologi ingin tinggal,1
warna cmyk d mata rgb gmn,0
bagaimana warna cmyk di mata rgb,1
warna cmyk di mata rgb abu ke putih,0
warna cmyk di mata rgb adalah abu tuju putih,1
kt nico kls u pm bio ud skl,0
turut nico kelas pm biologi sudah satu kali,1
bsk gw ke rmh lu ya,0
besok saya ke rumah ya,1
gw gk bs reaksi basa,0
saya tidak bisa reaksi basa,1
maju jd tumbal papan tulis,0
maju jadi tumbal papan tulis,1
kls gw wkt itu br msk sel volta,0
kelas saya waktu itu baru sampai sel volta,1
anda lelah sudah jadi alas yg kuno jason,0
lelah anda sudah jadi alas yang kuno jason,1
kan tampang lu selalu lelah,0
karena tampang anda selalu lelah,1
gua mau tidur dengan layak dan puas dan tidak ganggu,0
saya mau tidur dengan layak puas dan tidak ganggu,1
yaudah tidur aja dari skrg,0
ya sudah tidur dari sekarang,1
sabar lg tulis artikel medis,0
sabar saya sedang tulis artikel medis,1
kl bs gw jg mau tidur,0
jika bisa saya juga mau tidur,1
nulis biar apa dan buat siapa,0
tulis supaya apa dan untuk siapa,1
demi mamah sugi,0
demi ibu sugi,1
kwkwkw bantu bisa lu lah,0
hahaha bantu bisa saja,1
jadwal mepet bgt dia makanya gw jg ga enak minta tagih nilai ul apalagi ga bikin tugas,0
jadwal sangat sempit sehingga saya juga tidak enak tagih nilai ulang apalagi tidak buat tugas,1
jd hr ini doi ga masuk,0
maka hari ini dia tidak masuk,1
tpi dia juga neng klo kita remed,0
tapi dia juga senang jika kita remedial,1
kata mau nanya michelle apa,0
apa yang mau kamu tanya kepada michelle,1
buku tulis kami ditilep lgi,0
buku tulis kami curi lagi,1
itu dlm praktek dipake buat apa,0
dalam praktek untuk apa itu guna,1
yg biasa yg kt pake,0
yang biasa kita pakai,1
jgn bilang latih redoks dr buku bailmu,0
jangan bilang latih redoks dari buku bailmu,1
byk soal salah turut gue,0
turut saya banyak soal yang salah,1
dia ga selesai jawab jir,0
dia tidak selesai jawab,1
klo mw minta jwbn gw ada bagi ad bbrp kasus gua ga ngerti dan ga kasi nanya lg sm busugi,0
jika mau minta jawab saya ada bagi ada beberapa kasus saya tidak erti dan tidak beri sempat tanya lagi oleh ibu sugi,1
nnt malem mungkin hamba minta,0
saya mungkin minta nanti malam,1
michelle mau cocokin jawab belum gw tidur,0
michelle mau cocok jawab belum saya tidur,1
mata gw udah di batas,0
mata saya sudah di ambang batas,1
jgn terlalu pede sm jawab nak,0
jangan terlalu percaya diri dengan jawab nak,1
hehehe nasihat dr org yg ragu segala,0
hahaha nasihat dari orang yang ragu segala,1
oke michelle gw congkel mata lu ya,0
oke michelle saya congkel mata ya,1
masa transisi itu masa kuasa dipindahin,0
masa transisi rupa masa pindah kuasa,1
tuh kan firasat gw bener,0
nah firasat benar,1
pasti ada aja yg salah,0
pasti ada yang salah,1
ada ulang ada praktek ada remed,0
ada ulang praktek dan remedial,1
sementara syarat remed blm di kerja,0
sementara syarat remedial belum kerja,1
michelle bawa ulang fisika yg pertama dong,0
michelle tolong bawa ulang fisika yang pertama,1
kerja soal ulang dgn benar,0
kerja soal ulang dengan benar,1
kertas ul nya di kumpul,0
kertas ulang sebut kumpul,1
smpe skrg ga balik lg,0
sampai sekarang belum kembali lagi,1
apa udh balik tp gw lupa,0
mungkin sudah kembali tetapi saya lupa,1
udhlah bsk gw terjun dari lantai dua,0
ya sudah besok saya terjun dari lantai dua,1
yg masuk ui arwah gw aja,0
yang masuk ui cukup arwah saya saja,1
yg msk kuliah badan gw aja,0
yang masuk kuliah cukup tubuh saya saja,1
arwah nunggu di pintu surga,0
arwah saya tunggu di pintu surga,1
heh jgn dl tgs kalian blm slsai di dunia,0
jangan dulu karena tugas kalian belum selesai di dunia,1
